Date,Likes,Unlikes,NetLikes
2019-10-27,1,0,1
2019-10-28,3,-1,4
2019-10-29,4,0,4
2019-10-30,2,0,2
2019-10-31,1,0,1
2019-11-01,3,0,3
2019-11-02,1,0,1
2019-11-03,2,0,2
2019-11-04,4,0,4
2019-11-05,2,0,2
2019-11-06,3,0,3
2019-11-07,0,0,0
2019-11-08,0,0,0
2019-11-09,1,0,1
2019-11-10,2,0,2
2019-11-11,1,0,1
2019-11-12,6,0,6
2019-11-13,4,0,4
2019-11-14,1,0,1
2019-11-15,2,0,2
2019-11-16,2,0,2
2019-11-17,44,0,44
2019-11-18,28,-1,29
2019-11-19,2,-1,3
2019-11-20,1,0,1
2019-11-21,3,0,3
2019-11-22,21,0,21
2019-11-23,13,-1,14
